#TYPE System.Diagnostics.Process
"Name","SI","Handles","VM","WS","PM","NPM","Path","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","BasePriority","ExitCode","HasExited","ExitTime","Handle","SafeHandle","HandleCount","Id","MachineName","MainWindowHandle","MainWindowTitle","MainModule","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize","NonpagedSystemMemorySize64","PagedMemorySize","PagedMemorySize64","PagedSystemMemorySize","PagedSystemMemorySize64","PeakPagedMemorySize","PeakPagedMemorySize64","PeakWorkingSet","PeakWorkingSet64","PeakVirtualMemorySize","PeakVirtualMemorySize64","PriorityBoostEnabled","PriorityClass","PrivateMemorySize","PrivateMemorySize64","PrivilegedProcessorTime","ProcessName","ProcessorAffinity","Responding","SessionId","StartInfo","StartTime","SynchronizingObject","Threads","TotalProcessorTime","UserProcessorTime","VirtualMemorySize","VirtualMemorySize64","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet","WorkingSet64","Site","Container"
"1Password","1","562","441036800","45113344","31043584","63520",,,"31.734375",,,,,"Process","8",,,,,,"562","580",".","0","",,,,,"63520","63520","31043584","31043584","416560","416560","35557376","35557376","60674048","60674048","453500928","453500928",,,"31043584","31043584","00:00:25.7343750","1Password",,"True","1","System.Diagnostics.ProcessStartInfo","8/13/2021 5:10:19 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:31.7343750","00:00:06","441036800","441036800","False",,,,"45113344","45113344",,
"aesm_service","0","226","4412465152","6602752","3190784","15728",,,,,,,,"Process","8",,,,,,"226","3780",".","0","",,,,,"15728","15728","3190784","3190784","162440","162440","5287936","5287936","18587648","18587648","133439488","4428406784",,,"3190784","3190784",,"aesm_service",,"True","0","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"117497856","4412465152","False",,,,"6602752","6602752",,
"AppleMobileDeviceService","0","240","4456763392","7319552","4427776","21424",,,,,,,,"Process","8",,,,,,"240","5972",".","0","",,,,,"21424","21424","4427776","4427776","216176","216176","4468736","4468736","14155776","14155776","163942400","4458909696",,,"4427776","4427776",,"AppleMobileDeviceService",,"True","0","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"161796096","4456763392","False",,,,"7319552","7319552",,
"ApplicationFrameHost","1","494","2203590094848","31895552","21155840","28416","C:\Windows\system32\ApplicationFrameHost.exe","Microsoft Corporation","8.703125","10.0.19041.746 (WinBuild.160101.0800)","10.0.19041.746","Application Frame Host","Microsoft? Windows? Operating System","Process","8",,"False",,"5548","Microsoft.Win32.SafeHandles.SafeProcessHandle","494","3432",".","3148556","Calculator","System.Diagnostics.ProcessModule (ApplicationFrameHost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","28416","28416","21155840","21155840","397600","397600","38768640","38768640","51306496","51306496","295497728","2203613720576","True","Normal","21155840","21155840","00:00:05.3750000","ApplicationFrameHost","255","True","1","System.Diagnostics.ProcessStartInfo","8/11/2021 9:37:54 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:08.7031250","00:00:03.3281250","271872000","2203590094848","False",,,,"31895552","31895552",,
"ASGRD","1","1659","5491458048","260739072","214147072","79168","C:\Program Files\ASG-Remote Desktop 2020 (X64)\ASGRD.exe","ASG GmbH & Co. KG","14.046875","13.0.6768.1","13.0.6768.1","ASG-Remote Desktop 2020","ASG-Remote Desktop 2020","Process","8",,"False",,"4468","Microsoft.Win32.SafeHandles.SafeProcessHandle","1659","27096",".","8392746","Standard - ASG-RemoteDesktop 2020","System.Diagnostics.ProcessModule (ASGRD.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","79168","79168","214147072","214147072","826344","826344","238370816","238370816","277843968","277843968","1293799424","5588766720","True","Normal","214147072","214147072","00:00:05.5625000","ASGRD","255","True","1","System.Diagnostics.ProcessStartInfo","8/16/2021 1:13:47 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:14.0468750","00:00:08.4843750","1196490752","5491458048","False",,,,"260739072","260739072",,
"audiodg","0","287","2203440771072","20602880","11517952","21976",,,"116.890625",,,,,"Process","8",,,,,,"287","22220",".","0","",,,,,"21976","21976","11517952","11517952","157720","157720","16326656","16326656","25296896","25296896","127578112","2203445800960",,,"11517952","11517952","00:01:17.2968750","audiodg",,"True","0","System.Diagnostics.ProcessStartInfo","8/16/2021 12:36:06 PM",,"System.Diagnostics.ProcessThreadCollection","00:01:56.8906250","00:00:39.5937500","122548224","2203440771072","False",,,,"20602880","20602880",,
"Calculator","1","536","4722900992","55865344","25747456","28056","C:\Program Files\WindowsApps\Microsoft.WindowsCalculator_10.2103.8.0_x64__8wekyb3d8bbwe\Calculator.exe","Microsoft Corporation","2.125","10.2103.8.0","10.2103.8.0","Calculator.exe","Microsoft Calculator","Process","8",,"False",,"3288","Microsoft.Win32.SafeHandles.SafeProcessHandle","536","8604",".","0","","System.Diagnostics.ProcessModule (Calculator.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","28056","28056","25747456","25747456","1036536","1036536","27754496","27754496","75497472","75497472","446504960","4741472256","True","Normal","25747456","25747456","00:00:01.0937500","Calculator","255","True","1","System.Diagnostics.ProcessStartInfo","8/15/2021 3:54:40 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:02.1250000","00:00:01.0312500","427933696","4722900992","False",,,,"55865344","55865344",,
"chrome","1","223","2259563708416","26836992","13611008","14200","C:\Program Files\Google\Chrome\Application\chrome.exe","Google LLC","0.109375","92.0.4515.131","92.0.4515.131","Google Chrome","Google Chrome","Process","4",,"False",,"4180","Microsoft.Win32.SafeHandles.SafeProcessHandle","223","2960",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","14200","14200","13611008","13611008","499176","499176","13619200","13619200","26841088","26841088","347222016","2263794987008","True","Idle","13611008","13611008","00:00:00.0781250","chrome","255","True","1","System.Diagnostics.ProcessStartInfo","8/16/2021 1:23:08 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.1093750","00:00:00.0312500","410910720","2259563708416","False",,,,"26836992","26836992",,
"chrome","1","222","2255209832448","17752064","7614464","13248","C:\Program Files\Google\Chrome\Application\chrome.exe","Google LLC","0.234375","92.0.4515.131","92.0.4515.131","Google Chrome","Google Chrome","Process","8",,"False",,"3460","Microsoft.Win32.SafeHandles.SafeProcessHandle","222","4656",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","13248","13248","7614464","7614464","502664","502664","8241152","8241152","18051072","18051072","368783360","2255226613760","True","Normal","7614464","7614464","00:00:00.1406250","chrome","255","True","1","System.Diagnostics.ProcessStartInfo","8/16/2021 9:34:37 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.2343750","00:00:00.0937500","352002048","2255209832448","False",,,,"17752064","17752064",,
"chrome","1","297","2255254061056","21360640","8142848","17736","C:\Program Files\Google\Chrome\Application\chrome.exe","Google LLC","0.46875","92.0.4515.131","92.0.4515.131","Google Chrome","Google Chrome","Process","8",,"False",,"4212","Microsoft.Win32.SafeHandles.SafeProcessHandle","297","15288",".","0","","System.Diagnostics.ProcessModule (chrome.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","17736","17736","8142848","8142848","544328","544328","8204288","8204288","21430272","21430272","404652032","2255262482432","True","Normal","8142848","8142848","00:00:00.1718750","chrome","255","True","1","System.Diagnostics.ProcessStartInfo","8/16/2021 9:34:41 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.4687500","00:00:00.2968750","396230656","2255254061056","False",,,,"21360640","21360640",,
